imdb_id,critic_reviews,user_reviews,metascore,budget,worldwide_gross
tt0319348,,,,,
tt1344308,,,,,
tt0035938,5,15,,,
tt10153626,,,,,
tt0043271,,,,,
tt0126324,2,2,,,
tt27141553,,,,,
tt2668914,,,,,
tt0082262,1,3,,,
tt0007473,1,2,,,
tt17074540,,,,,
tt1260680,5,76,,,
tt3820948,,,,,
tt0114149,2,6,,,
tt0071647,31,45,,,
tt0426332,,,,,
tt0167787,3,4,,,
tt0186714,,,,,
tt0005739,,,,,
tt0407887,300,2.5K,85,,
tt0067095,9,9,,,
tt12379352,,,,,
tt1620552,,,,,
tt1244704,,,,,
tt2081883,,,,,
tt6588668,,,,,
tt0030637,42,97,,,
tt1844822,18,1,51,,
tt0143956,,,,,
tt2137326,,,,,
tt1590020,1,1,,,
tt0429230,,,,,
tt0413373,,,,,
tt2989524,28,71,52,,
tt4908802,,,,,
tt1720220,1,1,,,
tt1568802,11,7,,,
tt0173218,,,,,
tt0246744,5,6,,,
tt3628856,,,,,
tt0047022,,,,,
tt1548243,,,,,
tt0464996,,,,,
tt13907220,,,,,
tt0195071,,,,,
tt0174224,4,3,,,
tt3264762,,,,,
tt0236161,,,,,
tt2699356,,,,,
tt0064212,21,12,,,
tt0061009,,,,,
tt0184225,,,,,
tt0499601,2,3,,,
tt2152847,,,,,
tt0441268,,,,,
tt0004571,,,,,
tt0197056,,,,,
tt13339368,,,,,
tt7688892,,,,,
tt0080446,,,,,
tt0347363,,,,,
tt8710100,1,1,,,
tt8857590,1,2,,,
tt9328726,,,,,
tt0236598,6,10,,,
tt15486344,,,,,
tt0054719,1,1,,,
tt3652088,,,,,
tt0072392,19,20,,,
tt0419787,,,,,
tt2427050,,,,,
tt0047952,,,,,
tt22072316,,,,,
tt3645074,4,1,,,
tt1745958,11,44,,,
tt13328732,25,1,62,,
tt2782844,19,25,,,
tt0047847,,,,,
tt0063152,40,18,,,
tt9078338,15,2,63,,
tt1496832,2,10,,,
tt1235163,,,,,
tt0035502,4,9,,,
tt2649346,,,,,
tt0028976,1,1,,,
tt7773574,,,,,
tt0809356,,,,,
tt9600964,,,,,
tt13338422,,,,,
tt0128484,13,6,,,
tt0376461,,,,,
tt0207351,3,10,,,
tt4305756,,,,,
tt4048646,,,,,
tt0343814,,,,,
tt0201504,,,,,
tt1236215,,,,,
tt3828614,,,,,
tt0037557,6,28,,,
tt0077591,1,2,,,
tt0067094,16,16,,,
tt14097228,,,,,
tt1020853,1,8,,,
tt0112838,1,2,,,
tt1619811,,,,,
tt2247878,,,,,
tt1407262,,,,,
tt0866439,91,132,37,,
tt14534348,,,,,
tt0274792,,,,,
tt0261225,,,,,
tt14359098,,,,,
tt10741846,42,20,77,,
tt0182358,,,,,
tt0015775,,,,,
tt8896472,,,,,
tt0036961,1,9,,,
tt14304050,,,,,
tt0260705,,,,,
tt2382005,,,,,
tt0388744,,,,,
tt0426059,,,,,
tt0253801,1,1,,,
tt5253182,,,,,
tt1529558,10,4,,,
tt0352394,7,26,,,
tt3003980,9,12,,,
tt0078059,1,4,,,
tt1285313,,,,,
tt1431700,,,,,
tt0498282,3,3,,,
tt1649970,5,5,,,
tt12145322,19,15,,,
tt0040087,15,43,,,
tt1948512,,,,,
tt1617208,,,,,
tt16526498,,,,,
tt0096440,6,2,,,
tt7897316,23,2,,,
tt5974626,6,11,,,
tt2948782,,,,,
tt0069929,6,1,,,
tt5051224,,,,,
tt0116357,,,,,
tt2081314,1,4,,,
tt0095126,8,13,,,
tt8822390,,,,,
tt0049729,4,10,,,
tt0250684,,,,,
tt0006699,,,,,
tt0307527,,,,,
tt5928818,,,,,
tt2630096,,,,,
tt0271193,3,8,,,
tt2148548,,,,,
tt0826823,,,,,
tt0061878,11,7,,,
tt0791200,,,,,
tt0097063,,,,,
tt5157036,,,,,
tt0353894,,,,,
tt0493402,56,42,47,,
tt3743206,1,3,,,
tt0212435,,,,,
tt8435324,34,19,64,,
tt0221001,,,,,
tt1053793,,,,,
tt0008706,,,,,
tt0085671,15,3,,,
